GLOBALEVENTID,SQLDATE,AvgTone,NumArticles,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FullName,SOURCEURL
780480982,20180819,0.0,1,10.0,76.5,"Kerala, Kerala, India",http://saudigazette.com.sa/article/541528/SAUDI-ARABIA/Kerala-expats-concerned-about-home-situation
780480984,20180819,0.0,1,8.50694,76.9569,"Thiruvananthapuram, Kerala, India",http://saudigazette.com.sa/article/541528/SAUDI-ARABIA/Kerala-expats-concerned-about-home-situation
780480986,20180819,0.0,3,10.0,76.5,"Kerala, Kerala, India",http://saudigazette.com.sa/article/541528/SAUDI-ARABIA/Kerala-expats-concerned-about-home-situation
780480989,20180819,-1.62162162162163,1,9.49417,76.3275,"Alappuzha, Kerala, India",https://thenortheasttoday.com/manipur-govt-donates-rs-2-crore-to-kerala-flood-relief-fund/
780481023,20180819,-2.8125,2,10.0,76.5,"Kerala, Kerala, India",https://www.financialexpress.com/india-news/tamil-nadu-cm-k-palaniswami-visits-flood-hit-areas-assures-compensation-for-crop-loss/1285557/
780481361,20180819,0.0,1,10.0,76.5,"Kerala, Kerala, India",http://saudigazette.com.sa/article/541528/SAUDI-ARABIA/Kerala-expats-concerned-about-home-situation
780481366,20180819,0.0,2,10.0,76.5,"Kerala, Kerala, India",http://saudigazette.com.sa/article/541528/SAUDI-ARABIA/Kerala-expats-concerned-about-home-situation
780482224,20180819,0.532871745383335,3,10.0,76.5,"Kerala, Kerala, India",https://www.business-standard.com/article/pti-stories/muslim-man-who-converted-to-hinduism-moves-sc-for-custody-of-his-wife-118081900623_1.html
780482269,20180819,0.532871745383335,12,10.0,76.5,"Kerala, Kerala, India",https://www.business-standard.com/article/pti-stories/muslim-man-who-converted-to-hinduism-moves-sc-for-custody-of-his-wife-118081900623_1.html
780482583,20180819,-0.971868626954405,12,10.0,76.5,"Kerala, Kerala, India",http://www.dnaindia.com/bollywood/report-kerala-floods-baahubali-actor-prabhas-comes-out-in-support-here-s-how-much-he-contributed-to-the-relied-fund-2651847
780482584,20180819,-2.01005025125629,2,10.0,76.5,"Kerala, Kerala, India",http://www.dnaindia.com/bollywood/report-kerala-floods-baahubali-actor-prabhas-comes-out-in-support-here-s-how-much-he-contributed-to-the-relied-fund-2651847
780482932,20180819,0.58651026392961,5,10.0,76.5,"Kerala, Kerala, India",https://www.business-standard.com/article/pti-stories/muslim-man-who-converted-to-hinduism-moves-sc-for-custody-of-his-wife-118081900623_1.html
780483954,20180819,-2.35294117647059,4,10.0,76.5,"Kerala, Kerala, India",http://www.dnaindia.com/india/report-mumbai-ngos-launch-campaign-to-help-kerala-flood-victims-2651855
780484151,20180819,-2.7382256297919,5,10.0,76.5,"Kerala, Kerala, India",https://kashmirlife.net/kashmir-starts-responding-to-kerala-floods-183779/
780484314,20180819,0.57692307692308,3,9.98333,76.2833,"Ernakulam, Kerala, India",https://www.oneindia.com/india/centre-dispatch-relief-material-including-food-grains-medicines-to-kerala-2759129.html
780484323,20180819,0.57692307692308,3,10.0,76.5,"Kerala, Kerala, India",https://www.oneindia.com/india/centre-dispatch-relief-material-including-food-grains-medicines-to-kerala-2759129.html
780484675,20180819,-2.7382256297919,10,10.0,76.5,"Kerala, Kerala, India",https://kashmirlife.net/kashmir-starts-responding-to-kerala-floods-183779/
780485649,20180819,-5.29825787691753,6,10.5167,76.2167,"Thrissur, Kerala, India",https://www.timesofisrael.com/liveblog_entry/zarif-us-trying-to-topple-iran-regime-but-will-fail/
780485793,20180819,-1.74129353233831,10,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
780485823,20180819,-1.74129353233831,4,10.0,76.5,"Kerala, Kerala, India",https://www.dailypioneer.com/health-and-fitness/health-ministry-extending-all-support-to-flood-relief-measures-in-kerala-nadda.html
